date,time,athlete,discipline,bow_type,distance_yards,target_face,app_round,scoring_note,ends,arrows,reported_score,standard_10_ring_score,standard_possible_score,standard_score_percent,average_per_end_standard,average_per_arrow_standard,x_count,ten_count,nine_count,gold_count,end_1_standard,end_2_standard,end_3_standard,end_4_standard,end_5_standard,end_6_standard,end_7_standard,end_8_standard,end_9_standard,end_10_standard,end_scores_standard,arrow_scores_reported,source_file,notes
2026-05-23,15:36,Leon,Olympic recurve,Hoyt Formula setup,20,Standard Archery Target 40cm 10 Ring Bow and Arrow Target,Scorecard app screenshot,Standard 10-ring scoring,6,36,283,283,360,78.6,47.2,7.86,0,2,15,17,49,42,51,48,47,46,,,,,49|42|51|48|47|46,"9,9,9,8,8,6|9,9,8,8,6,2|9,10,9,9,5,9|9,10,9,7,7,6|9,9,8,7,8,6|9,9,7,8,7,6",images/sports/archery-2026-05-23-target-overview.jpeg,Baseline practice from scorecard screenshots.
2026-05-23,16:29,Leon,Olympic recurve,Hoyt Formula setup,20,Standard Archery Target 40cm 10 Ring Bow and Arrow Target,Custom-(Lancaster): Preston Leon,Official app score uses Lancaster scoring where X is counted as 11; standard 10-ring equivalent counts X as 10,10,30,237,236,300,78.7,23.6,7.87,1,1,8,10,21,18,27,19,25,27,24,25,24,26,21|18|27|19|25|27|24|25|24|26,"8,6,7|6,6,6|9,9,9|6,7,6|9,8,8|10,8,9|9,8,7|9,9,7|8,8,8|X,8,8",files/sports/archery-2026-05-23-1629-scorecard-preston-leon.pdf,"App target label: 40cm LAS Indoor; hits 30/30; skill 59.7."
2026-05-23,17:23,Leon,Olympic recurve,Hoyt Formula setup,20,Standard Archery Target 40cm 10 Ring Bow and Arrow Target,"Custom-(WA, Metric): Preston Leon 2",Standard 10-ring scoring,3,9,70,70,90,77.8,23.33,7.78,0,0,3,3,23,24,23,,,,,,,,23|24|23,"9,7,7|9,8,7|9,7,7",files/sports/archery-2026-05-23-1723-scorecard-preston-leon-2.pdf,"App target label: 40cm WA Target; hits 9/9; skill 56.9; handicap 2023 49 and 2022 42."
