"Laps","Time","Cumulative Time","Distance","Paved","Unpaved","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Avg Bike Cadence","Max Bike Cadence","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","20:29","20:29","5.00","0","0","14.6","131","152","108","108","64","107","219","78.8","24.4","19:30","15.4"
"2","18:01","38:30","4.18","99%","1%","13.9","131","147","121","118","59","97","164","78.8","21.9","17:54","14.0"
"Summary","38:30","38:30","9.18","0","0","14.3","131","152","226","226","62","107","383","78.8","24.4","37:24","14.7"
