"Laps","Time","Cumulative Time","Distance","Paved","Unpaved","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Avg Bike Cadence","Max Bike Cadence","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","19:42","19:42","5.00","0","0","15.2","126","146","102","102","67","97","192","82.4","23.4","19:23","15.5"
"2","13:03","32:45","3.06","0","0","14.1","130","150","39","43","65","86","125","82.4","20.5","12:17","14.9"
"Summary","32:45","32:45","8.06","0","0","14.8","128","150","141","148","66","97","317","82.4","23.4","31:40","15.3"
