"Laps","Time","Cumulative Time","Distance","Paved","Unpaved","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Avg Bike Cadence","Max Bike Cadence","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","28:25","28:25","5.00","0","0","10.6","107","140","98","95","66","102","200","73.4","21.3","19:39","15.3"
"2","16:30","44:54","4.12","0","0","15.0","123","133","92","95","66","90","125","73.4","23.3","16:20","15.1"
"Summary","44:54","44:54","9.12","0","0","12.2","113","140","190","190","66","102","326","73.4","23.3","35:59","15.2"
