"Laps","Time","Cumulative Time","Distance","Paved","Unpaved","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Avg Bike Cadence","Max Bike Cadence","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","23:56","23:56","5.00","0","0","12.5","113","143","79","85","60","125","185","71.6","20.8","21:31","13.9"
"2","17:05","41:01","4.12","0","0","14.5","128","145","95","95","65","104","148","68.0","21.6","16:39","14.8"
"3","0:26.6","41:28","0.00","0","0","0.3","116","118","0","0","0","0","3","68.0","2.1","0:04","2.1"
"Summary","41:28","41:28","9.12","0","0","13.2","119","145","174","180","62","125","336","70.1","21.6","38:14","14.3"
