"Laps","Time","Cumulative Time","Distance","Paved","Unpaved","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Avg Bike Cadence","Max Bike Cadence","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","20:42","20:42","5.00","0","0","14.5","127","148","102","98","64","86","207","77.0","23.8","18:54","15.9"
"2","21:47","42:28","5.00","0","0","13.8","136","153","135","138","57","84","212","77.0","20.1","20:44","14.5"
"3","0:27.5","42:56","0.03","0","0","4.4","118","121","0","0","16","32","2","75.2","9.5","0:18","6.7"
"Summary","42:56","42:56","10.03","0","0","14.0","131","153","236","236","61","86","421","77.0","23.8","39:56","15.1"
