"Laps","Time","Cumulative Time","Distance","Paved","Unpaved","Avg Speed","Avg HR","Max HR","Total Ascent","Total Descent","Avg Bike Cadence","Max Bike Cadence","Calories","Avg Temperature","Max Speed","Moving Time","Avg Moving Speed"
"1","20:24","20:24","5.00","0","0","14.7","133","148","135","138","60","101","224","78.8","23.5","19:40","15.3"
"2","19:05","39:29","4.25","0","0","13.4","130","143","125","125","62","89","161","78.8","21.0","18:21","13.9"
"Summary","39:29","39:29","9.25","0","0","14.1","131","148","259","262","61","101","385","78.8","23.5","38:01","14.6"
